tree,martelo,country,quadrant,species,social_status,DBH_cm,utmX,utmY,quality,Health,microhabitat,Total_height_m,Crownbase_height_m,V_m3ha,Bs_kg,B2_kg,B2_7_kg,B7_kg,Bs_B7.q.p_kg,B_kg,B,spNum,simpson,shannon,Even,D,MS,Mi,W,S,TH,A,G_m2ha,Hzones.st,Atmp,A.st,distij,MVij,Hzones.qd,Vij,THij
1,Valdepoza,Spain,13,Quercus pyrenaica,suppressed,6.9,354675.382867,4718992.988629,others,healthy,other,3.5,2.9,0.005,0,4.6387,1.5346363,0,4.3491735,6.1733363,0.0061733363,3,0.980936572607012,3.98075631732469,0.993367941551323,1.66666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.850011966666667,0.651839419878937,3.13549421592915,0.003739280655935,zone1,6.70751034509747,3.05271951455652,4.57036674583018,1,zone1,0,0.835680751173709
2,Valdepoza,Spain,13,Pinus sylvestris,Codominant,45.3,354670.836736,4718993.458677,injury,healthy,other,21.3,11,1.615,673.1265618,68.298966669096,65.5586530968586,17.4324852,0,824.416666765955,0.824416666765955,2,0.980936572607012,3.98075631732469,0.993367941551323,1.66666666666667,0.166666666666667,0.333333333333333,0.666666666666667,0.623755133333333,0.297339593114241,2.92887993459394,0.161170771712627,zone3,5.11722056410999,2.32894744437721,2.61260950511419,0,zone3,1,0.009389671361502
3,Valdepoza,Spain,13,Pinus sylvestris,Codominant,29.85,354668.826427,4718991.790029,injury,healthy,other,21.1,12.7,0.714,289.52885115,27.5918482184486,21.0663578173366,0,0,338.187057185785,0.338187057185785,2,0.980936572607012,3.98075631732469,0.993367941551323,1.66666666666667,0,0,0.666666666666667,0.5213377,0.037892014906853,2.92887993459394,0.06998074350458,zone3,5.11722056410999,2.32894744437721,2.61260950511419,0,zone3,1,0.009389671361502
4,Valdepoza,Spain,13,Pinus sylvestris,Codominant,30.7,354665.427089,4718992.977387,others,healthy,other,20.3,14.4,0.722,294.6412238,30.6867026830251,23.5568113207443,0,0,348.884737803769,0.348884737803769,2,0.980936572607012,3.98075631732469,0.993367941551323,1.66666666666667,0,0,0.333333333333333,0.5213377,0.028861231784504,2.92887993459394,0.074022991502046,zone3,5.11722056410999,2.32894744437721,3.05467284726153,0,zone3,1,0.024038461538462
5,Valdepoza,Spain,13,Pinus sylvestris,Codominant,27.65,354662.448772,4718992.298672,others,healthy,other,20.8,14.8,0.606,244.8918472,23.7048083064726,17.2986073005184,0,0,285.895262806991,0.285895262806991,2,0.980936572607012,3.98075631732469,0.993367941551323,1.66666666666667,0.166666666666667,0.333333333333333,0.666666666666667,0.5213377,0.038461538461539,2.92887993459394,0.060045456737603,zone3,5.11722056410999,2.32894744437721,1.83338363200796,0,zone3,0,0.048076923076923
6,Valdepoza,Spain,13,Pinus sylvestris,Codominant,26.45,354660.76115,4718993.015071,others,healthy,other,19.8,14.6,0.528,213.3227943,22.7580458249114,16.0107329775156,0,0,252.091573102427,0.252091573102427,2,0.980936572607012,3.98075631732469,0.993367941551323,1.66666666666667,0,0,0,0.5213377,0.047804845218638,2.92887993459394,0.054946651860826,zone3,5.11722056410999,2.32894744437721,1.83338363200796,0,zone3,0,0.048076923076923
7,Valdepoza,Spain,13,Pinus sylvestris,dominate,22.1,354657.247409,4718994.730973,others,healthy,other,18.4,15.1,0.345,138.3958576,16.682438385152,10.4489922614195,0,0,165.527288246572,0.165527288246572,2,0.980936572607012,3.98075631732469,0.993367941551323,1.66666666666667,0,0,0.333333333333333,0.5213377,0.123618806656997,2.92887993459394,0.038359631698495,zone2,5.09597190578075,2.31927676321498,1.70518200578132,0,zone3,0,0.144186046511628
8,Valdepoza,Spain,13,Pinus sylvestris,Codominant,38.05,354657.273926,4718988.148538,injury,healthy,other,22.6,17.2,1.228,503.8931821,43.4699098005886,38.5310647201009,0.081995649999999,0,585.976152270689,0.585976152270689,2,0.980936572607012,3.98075631732469,0.993367941551323,1.66666666666667,0.166666666666667,0.333333333333333,0.666666666666667,0.623755133333333,0.206489675516224,2.92887993459394,0.113710142446223,zone3,5.11722056410999,2.32894744437721,3.92013202681306,0,zone3,0,0.004424778761062
9,Valdepoza,Spain,13,Quercus pyrenaica,dominate,22.1,354656.055302,4718984.28263,others,healthy,other,12.1,5.2,0.212,0,14.4613,25.58145418,0,154.2447621,40.04275418,0.04004275418,3,0.980936572607012,3.98075631732469,0.993367941551323,1.66666666666667,0.25,1,0.666666666666667,0.82859,0.432205219600131,2.55248416780603,0.038359631698495,zone2,5.09597190578075,2.31927676321498,1.23670893019595,1,zone2,0,0.369791666666667
10,Valdepoza,Spain,13,Pinus sylvestris,Codominant,28.55,354657.284557,4718984.147053,others,healthy,other,19.2,12.1,0.59,241.0095072,27.8937814901377,20.29579988257,0,0,289.199088572708,0.289199088572708,2,0.980936572607012,3.98075631732469,0.993367941551323,1.66666666666667,0.166666666666667,0.333333333333333,0.666666666666667,0.623755133333333,0.222300270403147,2.92887993459394,0.064018000648067,zone3,5.11722056410999,2.32894744437721,1.23670893019595,1,zone3,0,0.369791666666667
